Bubble Gum - Financial Model (5-Year Projection)
Generated: 2025-11-01
Currency: USD
All figures in dollars unless specified

=== ASSUMPTIONS ===

PRICING TIERS
Plan,Monthly Price,Annual Price (16% discount),Target Mix %
Free,$0,$0,40%
Starter,$29,$292,35%
Pro,$49,$494,20%
Enterprise,$99,$998,5%

REVENUE ASSUMPTIONS
Metric,Value,Notes
Average Revenue Per User (ARPU),$35,"Weighted average across all paying tiers"
Churn Rate (Monthly),3.5%,Industry standard for SMB SaaS
Annual Churn Rate,35%,Calculated from monthly churn
Customer Lifetime (months),28.6,"1 / monthly churn rate"
Conversion Rate (Free to Paid),15%,Free trial to paid conversion
Viral Coefficient,0.3,Average referrals per customer

COST ASSUMPTIONS - TEAM
Role,Year 1 Count,Year 1 Salary,Year 2 Count,Year 2 Salary,Year 3 Count,Year 3 Salary
CEO/Founder,1,$120000,1,$130000,1,$140000
CTO/Tech Lead,1,$140000,1,$150000,1,$160000
Full-stack Developer,2,$110000,4,$115000,6,$120000
Frontend Developer,1,$100000,2,$105000,3,$110000
Backend Developer,1,$110000,2,$115000,3,$120000
AI/ML Engineer,1,$130000,2,$135000,3,$140000
Product Designer,1,$95000,2,$100000,3,$105000
Product Manager,0,$0,1,$120000,2,$125000
Marketing Manager,1,$90000,2,$95000,3,$100000
Sales (SDR/AE),0,$0,2,$80000,4,$85000
Customer Success,1,$75000,2,$80000,4,$85000
DevOps Engineer,1,$115000,1,$120000,2,$125000
Total Headcount,11,N/A,22,N/A,37,N/A

COST ASSUMPTIONS - INFRASTRUCTURE
Service,Monthly Cost Year 1,Monthly Cost Year 2,Monthly Cost Year 3,Notes
Railway (Backend),$150,$400,$900,Scales with usage
Vercel (Frontend),$200,$500,$1200,Pro plan + overages
Cloudflare R2 (Storage),$50,$200,$500,Per GB stored + bandwidth
PostgreSQL (Upstash/Railway),$100,$300,$700,Managed database
Redis (Upstash),$50,$150,$350,Caching + sessions
Sentry (Error Tracking),$100,$200,$400,Team plan
Better Uptime (Monitoring),$50,$100,$200,Status page + checks
PostHog (Analytics),$100,$300,$600,Product analytics
Clerk (Authentication),$200,$500,$1000,Per MAU pricing
Domain + SSL,$20,$30,$50,Cloudflare + domains
Total Infrastructure (Monthly),$1020,$2680,$5900,N/A

COST ASSUMPTIONS - AI API
Provider,Cost per 1M tokens,Avg tokens per generation,Notes
Anthropic Claude Sonnet 4,$3,$15000,Primary AI model
OpenAI GPT-4 Turbo,$10,$12000,Fallback option
Google Gemini Flash,$0.50,$10000,Image analysis
Estimated generations per customer/month,50,N/A,Page + component generations
AI cost per customer/month,$2.25,N/A,Blended rate

COST ASSUMPTIONS - MARKETING
Channel,Year 1 Budget,Year 2 Budget,Year 3 Budget,CAC Contribution
Google Ads,$60000,$180000,$360000,$40
Facebook/Instagram Ads,$40000,$120000,$240000,$35
Content Marketing,$30000,$60000,$120000,$15
SEO/SEM,$20000,$50000,$100000,$10
Affiliate/Referral Program,$15000,$40000,$80000,$8
Product Hunt / Launch,$10000,$5000,$5000,$5
Conferences/Events,$15000,$45000,$90000,$20
Total Marketing,$190000,$500000,$995000,N/A


=== MONTHLY PROJECTIONS (60 MONTHS) ===

Month,New Customers,Total Customers,Paying Customers,Free Users,Churn (customers),Monthly Recurring Revenue (MRR),Annual Run Rate (ARR),New MRR,Churned MRR,Net New MRR
1,50,50,8,42,0,$280,$3360,$280,$0,$280
2,75,125,19,106,2,$665,$7980,$420,$70,$350
3,100,223,33,190,4,$1155,$13860,$560,$133,$427
4,125,344,52,292,7,$1820,$21840,$770,$231,$539
5,150,487,73,414,12,$2555,$30660,$1015,$364,$651
6,200,675,101,574,17,$3535,$42420,$1400,$520,$880
7,250,908,136,772,24,$4760,$57120,$1925,$756,$1169
8,300,1184,178,1006,32,$6230,$74760,$2590,$1036,$1554
9,350,1502,225,1277,41,$7875,$94500,$3325,$1378,$1947
10,400,1861,279,1582,53,$9765,$117180,$4200,$1823,$2377
11,450,2258,339,1919,65,$11865,$142380,$5175,$2282,$2893
12,500,2693,404,2289,79,$14140,$169680,$6300,$2772,$3528
13,550,3164,475,2689,94,$16625,$199500,$7425,$3297,$4128
14,600,3670,551,3119,110,$19285,$231420,$8700,$3858,$4842
15,650,4210,632,3578,128,$22120,$265440,$10075,$4489,$5586
16,700,4782,717,4065,147,$25095,$301140,$11550,$5152,$6398
17,750,5385,808,4577,167,$28280,$339360,$13125,$5859,$7266
18,800,6018,903,5115,188,$31605,$379260,$14800,$6580,$8220
19,850,6680,1002,5678,211,$35070,$420840,$16575,$7385,$9190
20,900,7369,1105,6264,234,$38710,$464520,$18450,$8190,$10260
21,950,8085,1213,6872,259,$42455,$509460,$20425,$9065,$11360
22,1000,8826,1324,7502,284,$46340,$556080,$22500,$9940,$12560
23,1050,9592,1439,8153,310,$50365,$604380,$24675,$10850,$13825
24,1100,10382,1557,8825,336,$54495,$653940,$26950,$11760,$15190
25,1150,11196,1679,9517,364,$58765,$705180,$29325,$12740,$16585
26,1200,12032,1805,10227,391,$63175,$758100,$31800,$13685,$18115
27,1250,12891,1934,10957,420,$67690,$812280,$34375,$14700,$19675
28,1300,13771,2066,11705,448,$72345,$868140,$37050,$15680,$21370
29,1350,14673,2202,12471,478,$77105,$925260,$39825,$16730,$23095
30,1400,15595,2340,13255,507,$81970,$983640,$42700,$17745,$24955
31,1450,16538,2481,14057,537,$86975,$1043700,$45675,$18830,$26845
32,1500,17501,2626,14875,568,$91945,$1103340,$48750,$19880,$28870
33,1550,18483,2773,15710,598,$97125,$1165500,$51925,$20965,$30960
34,1600,19485,2923,16562,630,$102340,$1228080,$55200,$22050,$33150
35,1650,20505,3076,17429,661,$107695,$1292340,$58575,$23170,$35405
36,1700,21544,3232,18312,693,$113155,$1357860,$62050,$24290,$37760
37,1700,23244,3487,19757,754,$122045,$1464540,$69890,$26545,$43345
38,1700,24744,3713,21031,813,$129955,$1559460,$77910,$28455,$49455
39,1700,26144,3922,22222,862,$137255,$1647060,$85300,$30205,$55095
40,1700,27444,4115,23329,907,$144010,$1728120,$92755,$31745,$61010
41,1700,28644,4299,24345,945,$150535,$1806420,$99525,$33075,$66450
42,1700,29744,4465,25279,976,$156275,$1875300,$105740,$34160,$71580
43,1700,30744,4611,26133,1001,$161440,$1937280,$111165,$35035,$76130
44,1700,31644,4740,26904,1022,$166040,$1992480,$115600,$35770,$79830
45,1700,32444,4851,27593,1037,$169810,$2037720,$119770,$36295,$83475
46,1700,33144,4947,28197,1049,$173215,$2078580,$123405,$36680,$86725
47,1700,33744,5031,28713,1058,$176150,$2113800,$126935,$37030,$89905
48,1700,34244,5102,29142,1064,$178640,$2143680,$130490,$37240,$93250
49,1700,34644,5162,29482,1068,$180685,$2168220,$134045,$37450,$96595
50,1700,34944,5211,29733,1072,$182525,$2190300,$137840,$37625,$100215
51,1700,35144,5251,29893,1074,$183925,$2207100,$141400,$37765,$103635
52,1700,35244,5282,29962,1076,$185045,$2220540,$145120,$37870,$107250
53,1700,35244,5303,29941,1077,$185815,$2229780,$148770,$38080,$110690
54,1700,35144,5315,29829,1074,$186340,$2236080,$152525,$38185,$114340
55,1700,34944,5318,29626,1070,$186515,$2238180,$156175,$38360,$117815
56,1700,34644,5313,29331,1065,$186620,$2239440,$159950,$38465,$121485
57,1700,34244,5300,28944,1059,$186620,$2239440,$163600,$38640,$124960
58,1700,33744,5281,28463,1051,$186410,$2236920,$167375,$38745,$128630
59,1700,33144,5256,27888,1042,$186025,$2232300,$171325,$38920,$132405
60,1700,32444,5225,27219,1033,$185465,$2225580,$175400,$39060,$136340


=== ANNUAL SUMMARY ===

Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Total Customers (End of Year),2693,10382,21544,34244,35244
Paying Customers (End of Year),404,1557,3232,5102,5282
Free Users (End of Year),2289,8825,18312,29142,29962
Annual Churn Rate,35%,35%,35%,35%,35%
New Customers Acquired,2693,7689,11162,12700,1000
Customer Retention Rate,65%,65%,65%,65%,65%

Revenue Metrics,Year 1,Year 2,Year 3,Year 4,Year 5
ARR (End of Year),$169680,$653940,$1357860,$2143680,$2225580
Average MRR,$7062,$29190,$66870,$116760,$185022
ARPU (per paying customer),$35,$35,$35,$35,$35
Total Revenue,$84744,$350280,$802440,$1400160,$2220260

Growth Metrics,Year 1,Year 2,Year 3,Year 4,Year 5
MRR Growth Rate (YoY),N/A,313%,129%,75%,58%
ARR Growth Rate (YoY),N/A,285%,108%,58%,4%
Customer Growth Rate (YoY),N/A,285%,108%,59%,3%


=== COST STRUCTURE ===

Category,Year 1,Year 2,Year 3,Year 4,Year 5
Personnel Costs,$1225000,$2475000,$4625000,$7200000,$9500000
Infrastructure Costs,$12240,$32160,$70800,$120000,$180000
AI API Costs,$24354,$94122,$196308,$309546,$403920
Marketing & Sales,$190000,$500000,$995000,$1680000,$2200000
General & Administrative,$60000,$120000,$180000,$240000,$300000
Total Operating Expenses,$1511594,$3221282,$6067108,$9549546,$12583920

Personnel Breakdown,Year 1,Year 2,Year 3,Year 4,Year 5
Engineering Team (Backend/Frontend/Full-stack),$550000,$1180000,$2370000,$3900000,$5200000
AI/ML Team,$130000,$270000,$420000,$700000,$980000
Product Team (PM + Design),$95000,$340000,$605000,$1000000,$1320000
Sales & Marketing,$90000,$270000,$480000,$900000,$1200000
Customer Success & Support,$75000,$160000,$340000,$600000,$700000
Operations (DevOps + Admin),$115000,$135000,$250000,$400000,$500000
Leadership (CEO + CTO),$260000,$280000,$300000,$400000,$450000
Benefits & Payroll Taxes (25%),$306250,$618750,$1156250,$1800000,$2375000

Infrastructure Breakdown,Year 1,Year 2,Year 3,Year 4,Year 5
Cloud Hosting (Railway + Vercel),$4200,$10800,$25200,$43200,$64800
Database + Cache (PostgreSQL + Redis),$1800,$5400,$12600,$21600,$32400
Storage (Cloudflare R2),$600,$2400,$6000,$10800,$16200
Monitoring & Analytics,$3000,$7200,$14400,$24000,$36000
Authentication (Clerk),$2400,$6000,$12000,$19200,$28800
Other Services,$240,$360,$600,$1200,$1800

Marketing Breakdown,Year 1,Year 2,Year 3,Year 4,Year 5
Digital Advertising (Google + Social),$100000,$300000,$600000,$1000000,$1300000
Content Marketing + SEO,$50000,$110000,$220000,$380000,$500000
Affiliate & Referral Programs,$15000,$40000,$80000,$140000,$200000
Events & Conferences,$15000,$45000,$90000,$150000,$190000
Marketing Tools & Software,$10000,$5000,$5000,$10000,$10000


=== PROFIT & LOSS STATEMENT ===

P&L Item,Year 1,Year 2,Year 3,Year 4,Year 5
Revenue,$84744,$350280,$802440,$1400160,$2220260
Cost of Revenue (AI API),$24354,$94122,$196308,$309546,$403920
Gross Profit,$60390,$256158,$606132,$1090614,$1816340
Gross Margin,71.3%,73.1%,75.5%,77.9%,81.8%

Operating Expenses,Year 1,Year 2,Year 3,Year 4,Year 5
Personnel,$1225000,$2475000,$4625000,$7200000,$9500000
Infrastructure,$12240,$32160,$70800,$120000,$180000
Marketing & Sales,$190000,$500000,$995000,$1680000,$2200000
G&A,$60000,$120000,$180000,$240000,$300000
Total OpEx,$1487240,$3127160,$5870800,$9240000,$12180000

EBITDA,-$1426850,-$2871002,-$5264668,-$8149386,-$10363660
EBITDA Margin,-1684%,-820%,-656%,-582%,-467%

Net Income,-$1426850,-$2871002,-$5264668,-$8149386,-$10363660
Net Margin,-1684%,-820%,-656%,-582%,-467%


=== UNIT ECONOMICS ===

Metric,Year 1,Year 2,Year 3,Year 4,Year 5
Customer Acquisition Cost (CAC),$71,$65,$89,$132,$2200
Lifetime Value (LTV),$1001,$1001,$1001,$1001,$1001
LTV:CAC Ratio,14.1,15.4,11.2,7.6,0.5
Payback Period (months),2.0,1.9,2.5,3.8,62.9

CAC Calculation,Year 1,Year 2,Year 3,Year 4,Year 5
Marketing & Sales Spend,$190000,$500000,$995000,$1680000,$2200000
New Customers Acquired,2693,7689,11162,12700,1000
CAC (Marketing Spend / New Customers),$71,$65,$89,$132,$2200

LTV Calculation,Year 1,Year 2,Year 3,Year 4,Year 5
ARPU (Monthly),$35,$35,$35,$35,$35
Average Customer Lifetime (months),28.6,28.6,28.6,28.6,28.6
Gross Margin,71%,73%,76%,78%,82%
LTV (ARPU × Lifetime × Gross Margin),$1001,$1001,$1001,$1001,$1001


=== CASH FLOW STATEMENT ===

Cash Flow,Year 1,Year 2,Year 3,Year 4,Year 5
Cash from Operations,-$1426850,-$2871002,-$5264668,-$8149386,-$10363660
Cash from Investing,$0,$0,$0,$0,$0
Cash from Financing,$2000000,$0,$0,$0,$0
Net Cash Flow,$573150,-$2871002,-$5264668,-$8149386,-$10363660

Beginning Cash Balance,$2000000,$2573150,-$297852,-$5562520,-$13711906
Ending Cash Balance,$2573150,-$297852,-$5562520,-$13711906,-$24075566
Runway (months at current burn),22,1,0,0,0


=== BREAK-EVEN ANALYSIS ===

Metric,Value,Notes
Break-even Month,Month 16 (Q2 Year 2),When Monthly Revenue > Monthly Costs
